"Folder","FileCount","SizeMB","LastModified"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax","13","10.23","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.27","12/19/2025 3:04:02 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-excalidraw-plugin","3","8.25","12/19/2025 2:58:01 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\quickadd","4","6.09","12/17/2025 3:06:10 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\make-md","4","5.57","1/2/2026 12:18:13 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\make-md","4","5.57","1/2/2026 10:36:04 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\make-md","4","5.57","1/2/2026 11:31:28 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\copilot","4","5.04","12/29/2025 11:44:32 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-markmind","3","3.88","12/17/2025 3:08:12 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\sre\mathmaps","7","2.61","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.smart-env\multi","46","2.47","12/29/2025 11:44:47 AM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\dataview","3","2.27","12/19/2025 2:57:44 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\mermaid","3","2.07","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\highlight","5","1.81","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme\fonts\source-sans-pro","14","1.73","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 12:13:53 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-day-planner","4","1.5","12/29/2025 2:44:35 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 12:28:53 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 11:03:16 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides","4","1.37","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\dataview","3","1.24","12/17/2025 3:05:17 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist","6","1.19","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\fontawesome","1","1.14","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distlib","19","1.09","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\rich\__pycache__","77","1.07","1/8/2026 1:42:33 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\output\svg\fonts","1","1.02","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-kanban","3","1","12/19/2025 2:57:48 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-kanban","3","1","12/17/2025 3:05:46 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-mind-map","2","0.97","12/17/2025 3:07:30 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\smart-connections","4","0.87","12/17/2025 3:07:36 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\rich","78","0.86","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Scripts","9","0.84","1/8/2026 1:42:37 PM"
"C:\Users\mespindola\Documents\HRM","7","0.8","12/22/2025 4:35:51 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/19/2025 2:58:06 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/17/2025 3:05:28 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-git","3","0.76","12/17/2025 3:05:50 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input","5","0.71","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Desktop\SEI_Executive_Package","32","0.64","1/12/2026 11:11:02 AM"
"C:\Users\mespindola\Documents\SCRIPTS","32","0.64","1/12/2026 11:11:02 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distlib\__pycache__","13","0.45","1/8/2026 1:42:26 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\sre","2","0.45","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input\tex\extensions","33","0.43","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-icon-folder","4","0.4","1/2/2026 10:33:10 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-icon-folder","4","0.4","1/2/2026 10:33:10 AM"
